allocation_id,employee_id,project_id,allocation_month,allocation_percentage,performance_rating
ALC00051,EMP0141,PRJ041,2025-07,25,3.2
ALC00052,EMP0123,PRJ074,2026-03,25,4.5
ALC00053,EMP0142,PRJ006,2025-07,100,3.8
ALC00054,EMP0068,PRJ076,2025-11,75,4.1
ALC00055,EMP0370,PRJ082,2026-09,50,3.0
ALC00056,EMP0079,PRJ067,2025-07,75,3.5
ALC00057,EMP0017,PRJ074,2025-03,75,3.6
ALC00058,EMP0402,PRJ051,2026-06,75,4.5
ALC00059,EMP0270,PRJ087,2025-04,75,3.7
ALC00060,EMP0490,PRJ084,2026-12,25,4.7
ALC00061,EMP0375,PRJ078,2025-07,75,4.7
ALC00062,EMP0219,PRJ094,2026-10,100,4.8
ALC00063,EMP0043,PRJ024,2025-02,50,4.0
ALC00064,EMP0142,PRJ075,2026-09,100,4.8
ALC00065,EMP0059,PRJ030,2026-06,75,3.9
ALC00066,EMP0298,PRJ050,2026-02,25,4.7
ALC00067,EMP0231,PRJ031,2025-10,75,4.1
ALC00068,EMP0176,PRJ044,2025-01,50,4.2
ALC00069,EMP0200,PRJ019,2025-11,75,3.1
ALC00070,EMP0288,PRJ058,2025-05,75,4.7
ALC00071,EMP0051,PRJ061,2025-11,100,4.3
ALC00072,EMP0256,PRJ005,2025-06,100,3.4
ALC00073,EMP0092,PRJ096,2025-04,75,4.4
ALC00074,EMP0440,PRJ050,2025-11,25,3.5
ALC00075,EMP0054,PRJ061,2025-03,100,4.8
ALC00076,EMP0495,PRJ097,2025-12,100,4.7
ALC00077,EMP0128,PRJ088,2025-10,50,4.1
ALC00078,EMP0016,PRJ031,2025-06,25,3.7
ALC00079,EMP0357,PRJ013,2025-02,50,4.8
ALC00080,EMP0241,PRJ080,2026-03,25,4.6
ALC00081,EMP0007,PRJ099,2026-05,50,3.4
ALC00082,EMP0393,PRJ055,2026-04,75,4.6
ALC00083,EMP0280,PRJ003,2025-05,25,4.6
ALC00084,EMP0336,PRJ002,2026-05,50,3.4
ALC00085,EMP0480,PRJ075,2025-02,100,3.8
ALC00086,EMP0284,PRJ091,2026-05,25,3.0
ALC00087,EMP0276,PRJ010,2025-02,25,3.7
ALC00088,EMP0191,PRJ063,2025-02,25,4.0
ALC00089,EMP0295,PRJ003,2026-10,75,3.0
ALC00090,EMP0411,PRJ019,2025-10,50,3.6
ALC00091,EMP0183,PRJ089,2025-07,75,3.6
ALC00092,EMP0368,PRJ092,2025-11,100,4.3
ALC00093,EMP0300,PRJ068,2025-09,50,3.3
ALC00094,EMP0184,PRJ053,2025-04,25,4.9
ALC00095,EMP0332,PRJ029,2026-06,25,3.4
ALC00096,EMP0308,PRJ060,2025-12,75,3.5
ALC00097,EMP0322,PRJ060,2026-11,75,4.1
ALC00098,EMP0356,PRJ004,2025-06,25,3.6
ALC00099,EMP0191,PRJ065,2025-11,100,3.1
ALC00100,EMP0189,PRJ003,2025-01,100,4.8
ALC00101,EMP0050,PRJ016,2025-02,25,3.8
ALC00102,EMP0038,PRJ059,2025-03,100,3.8
ALC00103,EMP0389,PRJ007,2026-11,100,4.2
ALC00104,EMP0016,PRJ099,2025-10,75,4.6
ALC00105,EMP0405,PRJ021,2026-11,25,4.9
ALC00106,EMP0174,PRJ064,2026-03,50,3.2
ALC00107,EMP0244,PRJ016,2026-11,100,3.2
ALC00108,EMP0252,PRJ059,2025-10,100,3.9
ALC00109,EMP0305,PRJ027,2025-08,50,4.7
ALC00110,EMP0109,PRJ067,2026-08,75,4.8
ALC00111,EMP0065,PRJ006,2026-01,50,4.4
ALC00112,EMP0363,PRJ041,2026-10,75,4.6
ALC00113,EMP0495,PRJ082,2025-11,100,4.0
ALC00114,EMP0464,PRJ016,2025-03,100,3.2
ALC00115,EMP0258,PRJ077,2026-04,100,4.7
ALC00116,EMP0299,PRJ028,2025-10,75,4.2
ALC00117,EMP0376,PRJ037,2025-05,25,3.8
ALC00118,EMP0324,PRJ079,2026-11,25,3.7
ALC00119,EMP0329,PRJ062,2026-09,25,4.6
ALC00120,EMP0366,PRJ009,2026-06,100,3.8
ALC00121,EMP0049,PRJ055,2026-02,50,4.2
ALC00122,EMP0097,PRJ020,2026-06,50,4.9
ALC00123,EMP0127,PRJ097,2026-01,25,3.7
ALC00124,EMP0329,PRJ024,2026-11,100,4.6
ALC00125,EMP0271,PRJ082,2026-02,75,4.1
ALC00126,EMP0372,PRJ068,2025-08,50,4.3
ALC00127,EMP0384,PRJ087,2025-03,100,3.2
ALC00128,EMP0426,PRJ087,2026-08,100,3.7
ALC00129,EMP0285,PRJ081,2025-04,100,3.4
ALC00130,EMP0036,PRJ011,2026-01,25,4.2
ALC00131,EMP0226,PRJ057,2026-10,100,3.7
ALC00132,EMP0100,PRJ099,2026-09,25,3.2
ALC00133,EMP0280,PRJ052,2025-05,25,4.5
ALC00134,EMP0047,PRJ100,2026-10,50,3.9
ALC00135,EMP0029,PRJ001,2025-10,100,4.2
ALC00136,EMP0421,PRJ033,2026-03,50,3.4
ALC00137,EMP0129,PRJ013,2025-11,75,4.1
ALC00138,EMP0452,PRJ067,2026-10,75,4.8
ALC00139,EMP0119,PRJ027,2026-02,75,5.0
ALC00140,EMP0127,PRJ016,2026-07,25,4.2
ALC00141,EMP0175,PRJ096,2026-05,100,4.7
ALC00142,EMP0346,PRJ035,2025-10,25,3.7
ALC00143,EMP0412,PRJ013,2026-06,25,3.0
ALC00144,EMP0041,PRJ098,2026-06,75,3.2
ALC00145,EMP0488,PRJ077,2025-10,25,3.5
ALC00146,EMP0019,PRJ048,2026-11,100,4.3
ALC00147,EMP0275,PRJ019,2026-11,100,3.8
ALC00148,EMP0213,PRJ038,2026-02,50,4.3
ALC00149,EMP0319,PRJ011,2026-04,50,3.4
ALC00150,EMP0133,PRJ020,2026-01,75,4.7
ALC00151,EMP0048,PRJ091,2025-05,75,5.0
ALC00152,EMP0118,PRJ090,2026-10,50,3.3
ALC00153,EMP0293,PRJ077,2025-03,25,3.3
ALC00154,EMP0456,PRJ068,2026-04,100,4.9
ALC00155,EMP0096,PRJ076,2025-05,25,3.3
ALC00156,EMP0038,PRJ073,2026-02,100,4.8
ALC00157,EMP0304,PRJ035,2026-11,100,4.2
ALC00158,EMP0347,PRJ018,2026-03,100,4.1
ALC00159,EMP0329,PRJ086,2026-03,100,3.7
ALC00160,EMP0491,PRJ005,2025-06,100,4.2
ALC00161,EMP0450,PRJ037,2026-07,100,4.7
ALC00162,EMP0024,PRJ041,2025-08,75,3.8
ALC00163,EMP0436,PRJ076,2026-06,75,3.1
ALC00164,EMP0221,PRJ060,2025-02,100,4.4
ALC00165,EMP0001,PRJ005,2025-04,100,4.9
ALC00166,EMP0162,PRJ098,2025-03,50,4.5
ALC00167,EMP0293,PRJ096,2026-05,75,3.9
ALC00168,EMP0338,PRJ082,2025-03,25,3.5
ALC00169,EMP0208,PRJ049,2026-09,25,4.4
ALC00170,EMP0375,PRJ004,2026-06,75,4.2
ALC00171,EMP0341,PRJ078,2025-11,25,3.9
ALC00172,EMP0107,PRJ083,2026-05,100,4.1
ALC00173,EMP0225,PRJ045,2025-11,100,3.7
ALC00174,EMP0500,PRJ003,2025-10,75,3.3
ALC00175,EMP0449,PRJ089,2026-11,75,4.5
ALC00176,EMP0207,PRJ027,2026-07,75,3.1
ALC00177,EMP0239,PRJ006,2026-04,50,4.1
ALC00178,EMP0400,PRJ019,2026-10,75,4.6
ALC00179,EMP0208,PRJ051,2026-08,25,3.6
ALC00180,EMP0256,PRJ037,2025-03,50,4.0
ALC00181,EMP0330,PRJ005,2025-09,75,3.3
ALC00182,EMP0006,PRJ073,2025-09,75,4.7
ALC00183,EMP0081,PRJ007,2025-01,25,4.2
ALC00184,EMP0451,PRJ037,2026-07,50,4.3
ALC00185,EMP0018,PRJ019,2025-12,50,3.5
ALC00186,EMP0441,PRJ051,2026-11,50,4.0
ALC00187,EMP0022,PRJ100,2026-05,25,3.7
ALC00188,EMP0412,PRJ027,2025-03,50,4.2
ALC00189,EMP0014,PRJ085,2025-05,100,4.5
ALC00190,EMP0139,PRJ009,2026-02,100,3.5
ALC00191,EMP0424,PRJ063,2026-03,50,3.4
ALC00192,EMP0149,PRJ095,2026-12,75,3.1
ALC00193,EMP0496,PRJ077,2025-09,25,3.1
ALC00194,EMP0270,PRJ058,2026-03,100,4.0
ALC00195,EMP0256,PRJ049,2026-04,50,3.8
ALC00196,EMP0308,PRJ011,2026-11,100,3.9
ALC00197,EMP0442,PRJ022,2025-05,100,3.0
ALC00198,EMP0098,PRJ088,2026-03,100,4.4
ALC00199,EMP0366,PRJ081,2026-05,25,3.2
ALC00200,EMP0365,PRJ047,2026-06,75,4.9
ALC00201,EMP0437,PRJ097,2026-02,75,3.7
ALC00202,EMP0228,PRJ069,2025-09,25,3.5
ALC00203,EMP0216,PRJ086,2026-07,100,3.9
ALC00204,EMP0143,PRJ049,2026-10,50,4.5
ALC00205,EMP0424,PRJ007,2026-07,50,4.0
ALC00206,EMP0035,PRJ050,2026-10,50,3.6
ALC00207,EMP0239,PRJ001,2025-01,25,4.7
ALC00208,EMP0346,PRJ008,2025-01,100,3.2
ALC00209,EMP0460,PRJ022,2025-04,100,3.7
ALC00210,EMP0488,PRJ067,2026-12,75,3.5
ALC00211,EMP0367,PRJ052,2025-02,25,4.2
ALC00212,EMP0423,PRJ028,2025-02,50,4.9
ALC00213,EMP0288,PRJ082,2026-09,25,4.4
ALC00214,EMP0326,PRJ033,2025-04,25,4.7
ALC00215,EMP0069,PRJ011,2025-05,100,4.3
ALC00216,EMP0138,PRJ063,2026-09,50,4.8
ALC00217,EMP0110,PRJ091,2026-11,50,3.5
ALC00218,EMP0484,PRJ044,2026-03,25,4.3
ALC00219,EMP0144,PRJ040,2025-09,100,4.4
ALC00220,EMP0460,PRJ089,2026-10,75,3.5
ALC00221,EMP0084,PRJ055,2025-03,75,4.6
ALC00222,EMP0220,PRJ032,2026-01,100,3.7
ALC00223,EMP0353,PRJ071,2025-02,75,4.9
ALC00224,EMP0149,PRJ072,2025-09,50,3.9
ALC00225,EMP0348,PRJ061,2026-04,50,4.2
ALC00226,EMP0289,PRJ060,2025-06,100,3.2
ALC00227,EMP0141,PRJ019,2026-06,100,3.4
ALC00228,EMP0112,PRJ019,2026-09,25,4.8
ALC00229,EMP0251,PRJ085,2026-11,75,3.2
ALC00230,EMP0221,PRJ082,2025-03,25,4.1
ALC00231,EMP0266,PRJ015,2025-09,100,3.0
ALC00232,EMP0225,PRJ072,2026-04,50,4.3
ALC00233,EMP0312,PRJ002,2025-01,25,4.3
ALC00234,EMP0283,PRJ057,2025-09,50,4.4
ALC00235,EMP0296,PRJ019,2026-01,25,4.0
ALC00236,EMP0360,PRJ013,2026-04,100,3.9
ALC00237,EMP0161,PRJ080,2026-12,25,4.1
ALC00238,EMP0030,PRJ065,2025-01,100,4.9
ALC00239,EMP0282,PRJ068,2026-04,25,4.1
ALC00240,EMP0004,PRJ088,2025-12,75,4.4
ALC00241,EMP0076,PRJ059,2026-01,25,4.3
ALC00242,EMP0298,PRJ058,2026-09,25,3.7
ALC00243,EMP0323,PRJ096,2025-11,25,4.7
ALC00244,EMP0406,PRJ063,2025-10,50,3.4
ALC00245,EMP0250,PRJ086,2025-02,100,4.3
ALC00246,EMP0479,PRJ045,2025-10,100,4.8
ALC00247,EMP0119,PRJ004,2026-09,75,4.0
ALC00248,EMP0090,PRJ005,2026-09,100,4.5
ALC00249,EMP0355,PRJ081,2025-05,25,3.4
ALC00250,EMP0062,PRJ041,2026-12,50,4.0
ALC00251,EMP0274,PRJ040,2025-03,75,4.0
ALC00252,EMP0295,PRJ025,2026-03,25,3.1
ALC00253,EMP0470,PRJ082,2025-02,75,4.6
ALC00254,EMP0379,PRJ009,2025-02,100,3.2
ALC00255,EMP0186,PRJ031,2026-09,100,4.9
ALC00256,EMP0179,PRJ064,2026-06,50,4.5
ALC00257,EMP0256,PRJ075,2025-08,25,3.1
ALC00258,EMP0439,PRJ032,2025-05,100,4.3
ALC00259,EMP0050,PRJ082,2026-04,25,3.5
ALC00260,EMP0246,PRJ008,2026-09,50,3.0
ALC00261,EMP0301,PRJ035,2026-09,25,4.8
ALC00262,EMP0256,PRJ077,2025-04,100,4.2
ALC00263,EMP0136,PRJ031,2026-07,25,4.6
ALC00264,EMP0234,PRJ095,2025-04,25,4.0
ALC00265,EMP0348,PRJ012,2026-08,50,3.1
ALC00266,EMP0032,PRJ073,2025-07,100,3.7
ALC00267,EMP0332,PRJ072,2026-12,100,3.6
ALC00268,EMP0234,PRJ024,2026-10,50,3.6
ALC00269,EMP0228,PRJ069,2025-07,25,4.2
ALC00270,EMP0120,PRJ042,2025-11,25,3.2
ALC00271,EMP0044,PRJ075,2025-05,100,3.3
ALC00272,EMP0073,PRJ008,2025-12,50,3.9
ALC00273,EMP0017,PRJ055,2026-07,25,3.3
ALC00274,EMP0449,PRJ069,2026-09,100,4.6
ALC00275,EMP0060,PRJ051,2025-01,100,3.2
ALC00276,EMP0102,PRJ086,2025-01,50,4.9
ALC00277,EMP0440,PRJ094,2026-11,75,3.8
ALC00278,EMP0447,PRJ016,2026-04,50,3.4
ALC00279,EMP0049,PRJ039,2026-09,75,4.0
ALC00280,EMP0085,PRJ063,2026-02,50,4.9
ALC00281,EMP0341,PRJ001,2026-08,25,4.2
ALC00282,EMP0108,PRJ026,2026-11,100,4.2
ALC00283,EMP0243,PRJ006,2025-03,75,3.7
ALC00284,EMP0273,PRJ050,2025-01,50,3.4
ALC00285,EMP0353,PRJ064,2026-05,25,4.2
ALC00286,EMP0374,PRJ069,2026-06,50,3.9
ALC00287,EMP0114,PRJ085,2026-09,50,3.6
ALC00288,EMP0006,PRJ060,2025-07,25,4.6
ALC00289,EMP0383,PRJ090,2026-10,100,4.0
ALC00290,EMP0240,PRJ068,2025-06,25,3.1
ALC00291,EMP0369,PRJ030,2025-12,75,3.4
ALC00292,EMP0419,PRJ046,2025-09,75,4.2
ALC00293,EMP0409,PRJ020,2026-03,25,3.2
ALC00294,EMP0080,PRJ018,2025-02,50,3.3
ALC00295,EMP0017,PRJ005,2025-01,100,4.0
ALC00296,EMP0271,PRJ100,2025-03,50,4.4
ALC00297,EMP0442,PRJ065,2026-07,75,3.8
ALC00298,EMP0138,PRJ005,2026-12,75,3.5
ALC00299,EMP0159,PRJ026,2025-04,75,3.5
ALC00300,EMP0204,PRJ026,2025-08,100,4.7
ALC00301,EMP0175,PRJ058,2026-01,50,3.1
ALC00302,EMP0317,PRJ025,2026-07,100,3.1
ALC00303,EMP0227,PRJ098,2026-02,50,3.4
ALC00304,EMP0197,PRJ018,2026-08,100,3.4
ALC00305,EMP0144,PRJ020,2025-12,50,3.9
ALC00306,EMP0476,PRJ064,2025-07,75,5.0
ALC00307,EMP0358,PRJ093,2025-07,75,3.3
ALC00308,EMP0498,PRJ043,2026-11,25,3.6
ALC00309,EMP0252,PRJ031,2025-04,100,3.9
ALC00310,EMP0098,PRJ004,2025-06,75,3.4
ALC00311,EMP0221,PRJ071,2025-10,50,4.6
ALC00312,EMP0127,PRJ044,2026-09,50,4.2
ALC00313,EMP0114,PRJ063,2026-06,50,3.2
ALC00314,EMP0162,PRJ017,2026-05,100,4.7
ALC00315,EMP0190,PRJ022,2025-07,100,4.7
ALC00316,EMP0151,PRJ054,2025-09,25,4.5
ALC00317,EMP0022,PRJ023,2026-12,50,3.5
ALC00318,EMP0332,PRJ093,2026-02,50,4.8
ALC00319,EMP0017,PRJ066,2026-07,50,4.8
ALC00320,EMP0098,PRJ086,2025-01,100,5.0
ALC00321,EMP0334,PRJ043,2025-02,100,4.5
ALC00322,EMP0445,PRJ076,2026-05,25,3.9
ALC00323,EMP0301,PRJ095,2026-01,100,4.6
ALC00324,EMP0479,PRJ064,2026-11,25,3.9
ALC00325,EMP0457,PRJ055,2025-08,25,4.1
ALC00326,EMP0041,PRJ013,2025-01,100,4.9
ALC00327,EMP0014,PRJ028,2025-05,75,3.6
ALC00328,EMP0047,PRJ077,2026-09,25,3.0
ALC00329,EMP0382,PRJ086,2026-10,75,3.3
ALC00330,EMP0499,PRJ012,2026-03,25,5.0
ALC00331,EMP0170,PRJ071,2026-03,50,4.7
ALC00332,EMP0131,PRJ090,2026-01,50,4.6
ALC00333,EMP0396,PRJ072,2025-12,100,4.4
ALC00334,EMP0011,PRJ005,2025-01,25,3.8
ALC00335,EMP0324,PRJ072,2026-11,75,4.1
ALC00336,EMP0394,PRJ012,2025-10,100,4.5
ALC00337,EMP0005,PRJ087,2026-11,50,4.6
ALC00338,EMP0158,PRJ069,2025-03,75,4.5
ALC00339,EMP0134,PRJ098,2025-02,75,4.8
ALC00340,EMP0089,PRJ020,2025-04,100,3.7
ALC00341,EMP0329,PRJ032,2026-08,25,3.7
ALC00342,EMP0252,PRJ032,2025-06,25,4.1
ALC00343,EMP0444,PRJ100,2025-07,50,5.0
ALC00344,EMP0227,PRJ060,2025-08,25,4.3
ALC00345,EMP0231,PRJ065,2026-12,50,4.5
ALC00346,EMP0488,PRJ046,2025-08,75,3.7
ALC00347,EMP0100,PRJ028,2025-09,100,3.6
ALC00348,EMP0314,PRJ025,2025-03,75,3.7
ALC00349,EMP0466,PRJ004,2026-04,25,3.9
ALC00350,EMP0359,PRJ057,2026-06,75,3.9
ALC00351,EMP0115,PRJ002,2025-12,25,3.4
ALC00352,EMP0368,PRJ072,2026-03,25,3.2
ALC00353,EMP0214,PRJ089,2025-06,75,4.9
ALC00354,EMP0481,PRJ078,2025-03,25,3.3
ALC00355,EMP0118,PRJ066,2025-04,50,4.0
ALC00356,EMP0276,PRJ049,2025-07,25,3.6
ALC00357,EMP0350,PRJ089,2026-10,50,3.9
ALC00358,EMP0151,PRJ007,2026-02,100,4.5
ALC00359,EMP0288,PRJ067,2025-01,75,3.4
ALC00360,EMP0203,PRJ011,2025-01,50,4.7
ALC00361,EMP0054,PRJ011,2026-05,75,3.8
ALC00362,EMP0158,PRJ045,2025-11,75,4.0
ALC00363,EMP0104,PRJ058,2026-10,100,3.9
ALC00364,EMP0015,PRJ002,2026-07,50,4.8
ALC00365,EMP0046,PRJ022,2025-10,50,4.6
ALC00366,EMP0169,PRJ032,2025-08,100,3.7
ALC00367,EMP0073,PRJ083,2025-10,25,3.3
ALC00368,EMP0326,PRJ086,2025-10,100,4.9
ALC00369,EMP0185,PRJ020,2026-08,50,4.4
ALC00370,EMP0108,PRJ035,2025-10,50,4.9
ALC00371,EMP0284,PRJ095,2026-11,50,3.3
ALC00372,EMP0191,PRJ070,2025-04,25,5.0
ALC00373,EMP0234,PRJ086,2026-07,50,3.9
ALC00374,EMP0302,PRJ093,2025-12,50,3.4
ALC00375,EMP0410,PRJ009,2026-11,25,4.3
ALC00376,EMP0342,PRJ068,2025-12,50,3.7
ALC00377,EMP0015,PRJ049,2026-06,50,4.1
ALC00378,EMP0356,PRJ080,2025-04,25,3.8
ALC00379,EMP0365,PRJ044,2026-04,50,4.9
ALC00380,EMP0334,PRJ009,2025-11,50,3.0
ALC00381,EMP0163,PRJ065,2026-12,75,4.3
ALC00382,EMP0219,PRJ097,2025-10,100,4.8
ALC00383,EMP0093,PRJ046,2026-07,50,4.6
ALC00384,EMP0190,PRJ077,2026-12,100,3.7
ALC00385,EMP0416,PRJ087,2025-04,100,4.8
ALC00386,EMP0480,PRJ099,2025-05,25,3.6
ALC00387,EMP0323,PRJ002,2026-01,50,3.9
ALC00388,EMP0310,PRJ051,2025-03,75,3.1
ALC00389,EMP0288,PRJ021,2026-09,50,4.2
ALC00390,EMP0082,PRJ100,2025-08,75,3.4
ALC00391,EMP0446,PRJ059,2025-03,100,4.4
ALC00392,EMP0250,PRJ067,2025-03,100,3.4
ALC00393,EMP0245,PRJ075,2025-11,25,4.8
ALC00394,EMP0494,PRJ037,2025-12,100,3.3
ALC00395,EMP0498,PRJ014,2026-02,75,3.8
ALC00396,EMP0147,PRJ047,2025-01,75,3.7
ALC00397,EMP0292,PRJ090,2025-10,100,4.7
ALC00398,EMP0040,PRJ046,2025-03,50,4.5
ALC00399,EMP0284,PRJ002,2026-03,100,4.6
ALC00400,EMP0128,PRJ024,2025-10,50,4.6
ALC00401,EMP0378,PRJ025,2026-02,100,3.3
ALC00402,EMP0323,PRJ065,2026-07,25,3.3
ALC00403,EMP0155,PRJ017,2025-10,100,5.0
ALC00404,EMP0405,PRJ024,2026-05,75,3.1
ALC00405,EMP0100,PRJ023,2026-07,100,3.2
ALC00406,EMP0344,PRJ040,2026-02,75,3.8
ALC00407,EMP0357,PRJ086,2026-06,100,4.4
ALC00408,EMP0129,PRJ076,2025-05,50,3.4
ALC00409,EMP0155,PRJ096,2026-01,75,4.1
ALC00410,EMP0239,PRJ009,2025-02,75,4.7
ALC00411,EMP0097,PRJ015,2025-10,100,4.1
ALC00412,EMP0375,PRJ082,2026-03,50,3.1
ALC00413,EMP0452,PRJ067,2025-01,50,3.5
ALC00414,EMP0412,PRJ067,2026-09,100,3.2
ALC00415,EMP0127,PRJ008,2026-10,75,3.8
ALC00416,EMP0355,PRJ087,2026-04,50,3.1
ALC00417,EMP0268,PRJ087,2025-09,100,5.0
ALC00418,EMP0411,PRJ071,2025-03,75,4.2
ALC00419,EMP0097,PRJ061,2026-07,100,4.7
ALC00420,EMP0271,PRJ076,2026-09,100,4.9
ALC00421,EMP0456,PRJ071,2025-04,75,4.0
ALC00422,EMP0239,PRJ057,2026-07,25,4.7
ALC00423,EMP0039,PRJ018,2025-06,25,3.3
ALC00424,EMP0497,PRJ096,2026-03,50,3.7
ALC00425,EMP0284,PRJ059,2025-02,75,3.7
ALC00426,EMP0139,PRJ077,2026-09,75,3.1
ALC00427,EMP0462,PRJ004,2025-10,25,4.0
ALC00428,EMP0268,PRJ094,2026-09,50,4.5
ALC00429,EMP0305,PRJ095,2026-08,50,4.1
ALC00430,EMP0277,PRJ042,2025-11,75,3.5
ALC00431,EMP0317,PRJ012,2026-11,75,3.2
ALC00432,EMP0019,PRJ017,2026-07,75,4.6
ALC00433,EMP0136,PRJ078,2025-01,50,4.0
ALC00434,EMP0246,PRJ014,2025-12,100,3.8
ALC00435,EMP0348,PRJ091,2025-06,25,3.4
ALC00436,EMP0027,PRJ052,2026-05,50,4.7
ALC00437,EMP0247,PRJ003,2026-06,25,3.8
ALC00438,EMP0372,PRJ066,2025-03,25,4.6
ALC00439,EMP0413,PRJ047,2025-01,100,3.7
ALC00440,EMP0373,PRJ061,2026-11,75,3.3
ALC00441,EMP0310,PRJ059,2026-03,75,3.3
ALC00442,EMP0351,PRJ091,2025-10,25,4.5
ALC00443,EMP0209,PRJ034,2025-04,50,3.3
ALC00444,EMP0392,PRJ023,2026-11,50,4.4
ALC00445,EMP0109,PRJ057,2025-10,50,3.4
ALC00446,EMP0375,PRJ027,2025-03,100,4.4
ALC00447,EMP0210,PRJ077,2025-04,25,3.0
ALC00448,EMP0042,PRJ014,2026-04,100,3.1
ALC00449,EMP0460,PRJ053,2025-04,25,4.6
ALC00450,EMP0466,PRJ011,2026-05,25,3.9
ALC00451,EMP0441,PRJ010,2025-09,25,3.1
ALC00452,EMP0302,PRJ079,2026-10,25,4.5
ALC00453,EMP0177,PRJ099,2025-04,50,4.2
ALC00454,EMP0112,PRJ014,2025-07,50,4.3
ALC00455,EMP0385,PRJ014,2025-01,25,3.3
ALC00456,EMP0085,PRJ001,2026-12,75,4.9
ALC00457,EMP0456,PRJ029,2025-12,75,3.3
ALC00458,EMP0349,PRJ052,2026-05,50,4.0
ALC00459,EMP0123,PRJ036,2025-03,25,4.6
ALC00460,EMP0487,PRJ005,2025-01,50,4.4
ALC00461,EMP0094,PRJ002,2025-10,50,4.8
ALC00462,EMP0431,PRJ001,2026-06,25,4.9
ALC00463,EMP0378,PRJ090,2025-04,50,4.8
ALC00464,EMP0186,PRJ048,2026-11,100,3.7
ALC00465,EMP0042,PRJ080,2026-07,50,3.9
ALC00466,EMP0378,PRJ009,2025-04,50,4.7
ALC00467,EMP0308,PRJ034,2026-01,100,3.4
ALC00468,EMP0073,PRJ005,2025-08,100,3.2
ALC00469,EMP0253,PRJ007,2025-11,25,3.9
ALC00470,EMP0205,PRJ001,2026-05,50,4.0
ALC00471,EMP0445,PRJ088,2025-12,75,4.1
ALC00472,EMP0287,PRJ094,2025-02,25,3.7
ALC00473,EMP0264,PRJ036,2025-04,100,3.6
ALC00474,EMP0247,PRJ055,2026-08,75,4.4
ALC00475,EMP0068,PRJ031,2026-03,50,4.1
ALC00476,EMP0266,PRJ021,2025-10,100,3.4
ALC00477,EMP0487,PRJ064,2025-03,100,4.9
ALC00478,EMP0048,PRJ025,2025-12,50,3.0
ALC00479,EMP0317,PRJ065,2026-10,100,4.3
ALC00480,EMP0160,PRJ017,2026-01,100,4.0
