project_id,project_name,required_skills,preferred_certifications,min_experience,required_headcount,location,domain
PRJ083,Healthcare Transformation 83,Python;DevOps;Machine Learning,CKA;Databricks-Associate,6,7,Remote,Retail
PRJ084,Telecom Transformation 84,Python;GCP,Azure-AZ900;CKA,10,7,Cairo,Retail
PRJ085,Finance Transformation 85,Machine Learning;SQL;Java,Azure-AZ900;PMP,9,6,Remote,Healthcare
PRJ086,Retail Transformation 86,Azure;SQL,GCP-ACE;CKA,8,7,Dubai,Healthcare
PRJ087,Finance Transformation 87,Data Engineering;Machine Learning;GCP,PMP;GCP-ACE,2,7,Riyadh,Telecom
PRJ088,Finance Transformation 88,SQL;GCP,Azure-AZ900;GCP-ACE,8,7,Dubai,Healthcare
PRJ089,Finance Transformation 89,React;SQL;Azure;DevOps,PMP;Azure-AZ900,8,4,London,Retail
PRJ090,Finance Transformation 90,SQL;AWS;Azure,PMP;ScrumMaster,5,8,Dubai,Retail
PRJ091,Finance Transformation 91,SQL;AWS;React;DevOps,Databricks-Associate;PMP,4,4,Cairo,Public Sector
PRJ092,Finance Transformation 92,Java;AWS;Data Engineering;React,Databricks-Associate;AWS-SA,7,5,Bangalore,Retail
PRJ093,Healthcare Transformation 93,GCP;AWS;Azure,Azure-AZ900;ScrumMaster,2,8,London,Public Sector
PRJ094,Finance Transformation 94,Machine Learning;Azure;SQL,Databricks-Associate;AWS-SA,7,2,Remote,Telecom
PRJ095,Retail Transformation 95,SQL;DevOps,Azure-AZ900;CKA,9,5,Dubai,Finance
PRJ096,Telecom Transformation 96,Azure;Python,ScrumMaster;AWS-SA,6,5,Dubai,Finance
PRJ097,Telecom Transformation 97,Java;AWS,ScrumMaster;PMP,9,7,Riyadh,Telecom
PRJ098,Healthcare Transformation 98,React;Machine Learning,PMP;Databricks-Associate,8,7,Riyadh,Telecom
PRJ099,Healthcare Transformation 99,Machine Learning;SQL;Python;GCP,CKA;ScrumMaster,2,3,London,Public Sector
PRJ100,Public Sector Transformation 100,Python;SQL;React,ScrumMaster;Databricks-Associate,2,3,Riyadh,Telecom
